feature,importance_mean,importance_std,val_imp_0,val_imp_1,val_imp_2,val_imp_3,val_imp_4
timeagg,0.0070546656,0.0008086344,0.0076310486,0.0070768744,0.0054876804,0.0076176077,0.0074601173
stockagg,0.00451605,0.00011655378,0.004614264,0.0044225752,0.0044677407,0.0043857545,0.004689917
log_return1,0.003944114,0.0010216234,0.002239585,0.00496085,0.0034119785,0.004909128,0.004199028
trade_order_count,0.0012379854,0.0010392898,0.00069867074,0.0032365173,0.0012695342,0.00045113266,0.0005340725
price_spread,0.0009615958,0.000701101,0.0006778091,0.0023181885,0.00065115094,0.00085414946,0.0003066808
trade_size,0.0006627858,0.00057766575,0.00062935054,0.0017086267,0.00064493716,-3.285706e-05,0.00036387146
log_return2,0.00057240424,0.0005912675,0.00097198784,0.00026468933,0.0012333989,-0.00042584538,0.0008177906
total_volume,0.00047162472,0.00059973873,0.00012178719,0.0015214831,0.0007607639,-4.5582652e-05,-3.2782555e-07
trade_seconds_in_bucket,0.00044551195,0.0007813706,-3.193319e-05,0.001931265,0.00049473345,-0.0002501011,8.3595514e-05
wap2,0.00041177272,0.0003087425,0.0008793324,0.00042676926,0.00039623678,-9.420514e-05,0.00045073032
trade_log_return,0.00032618345,0.000447985,0.00046014786,0.0009856522,0.00048014522,-0.0003451556,5.0127506e-05
volume_imbalance,0.00031962394,0.00044533904,0.0004951805,0.0011199564,3.582239e-05,-3.7521124e-05,-1.5318394e-05
bid_spread,0.00023652017,0.0005152423,0.0002232045,0.0011955947,8.416176e-05,-0.0003464818,2.6121736e-05
wap_balance,0.00011427999,0.00043024306,0.0002735108,0.0006982535,0.00012287498,-0.00063343346,0.00011019409
ask_spread,2.5829673e-05,0.00022485362,0.00025871396,-0.00025379658,4.696846e-05,-0.00020590425,0.00028316677
